"VariableX","VariableY","Valor"
"edad","tam",0.529412583167316
"edad","grado",0.000577825701565796
"edad","gang",0.0198495018295516
"edad","feno",0.0925776309919538
"edad","quim",3.59161395790661e-28
"edad","horm",2.25976142975449e-13
"edad","recid",0.47506541005622
"tam","grado",6.27026339403553e-08
"tam","gang",4.60037208958061e-10
"tam","feno",0.00379409840877553
"tam","quim",3.58588395761658e-09
"tam","horm",0.887242846965052
"tam","recid",2.19743579140229e-07
"grado","gang",0.512404696565621
"grado","feno",0.000499750124937531
"grado","quim",0.000499750124937531
"grado","horm",0.000499750124937531
"grado","recid",0.000499750124937531
"gang","feno",0.0589623749203239
"gang","quim",1.08991150002065e-15
"gang","horm",0.253010285503757
"gang","recid",1.92727670038665e-08
"feno","quim",0.000499750124937531
"feno","horm",0.000499750124937531
"feno","recid",0.000499750124937531
"quim","horm",4.6769606092144e-06
"quim","recid",0.0262153689369279
"horm","recid",0.00279066567026099
